date,symbol,sentiment_signal
2012-10-15,AAPL,6
2012-10-16,AAPL,2
2012-10-17,AAPL,6
2012-10-18,AAPL,6
2012-10-19,AAPL,6
2012-10-20,AAPL,6
2012-10-21,AAPL,1
2012-10-22,MSFT,6
2012-10-22,GOOG,6
2012-10-22,AAPL,-1
2012-10-23,AAPL,-3
2012-10-23,GOOG,-3
2012-10-23,MSFT,6
2012-10-24,GOOG,-1
2012-10-24,MSFT,-3
2012-10-24,AAPL,-1
2012-10-25,MSFT,6
2012-10-25,GOOG,1
2012-10-25,AAPL,-3
2012-10-26,AAPL,-1
2012-10-26,MSFT,6
2012-10-26,GOOG,4
2012-10-27,AAPL,-3
2012-10-27,MSFT,6
2012-10-27,GOOG,1
2012-10-28,GOOG,-3
2012-10-28,MSFT,2
2012-10-28,AAPL,-1
2012-10-29,GOOG,-1
2012-10-29,MSFT,6
2012-10-29,AAPL,4
2012-10-30,AAPL,-1
2012-10-30,GOOG,-3
2012-10-30,MSFT,6
2012-10-31,GOOG,-1
2012-10-31,AAPL,2
2012-10-31,MSFT,4
2012-11-01,MSFT,6
2012-11-01,GOOG,-1
2012-11-01,AAPL,-3
2012-11-02,GOOG,-1
2012-11-02,MSFT,2
2012-11-02,AAPL,6
2012-11-03,GOOG,-1
2012-11-03,MSFT,1
2012-11-03,AAPL,1
2012-11-04,AAPL,-1
2012-11-04,GOOG,2
2012-11-04,MSFT,-1
2012-11-05,GOOG,-3
2012-11-05,AAPL,6
2012-11-05,MSFT,-1
2012-11-06,GOOG,-1
2012-11-06,AAPL,5
2012-11-06,MSFT,-1
2012-11-07,MSFT,-1
2012-11-07,AAPL,4
2012-11-07,GOOG,-1
2012-11-08,MSFT,6
2012-11-08,GOOG,-1
2012-11-08,AAPL,2
2012-11-09,AAPL,3
2012-11-09,MSFT,6
2012-11-09,GOOG,2
2012-11-10,AAPL,6
2012-11-10,MSFT,2
2012-11-10,GOOG,1
2012-11-11,GOOG,1
2012-11-11,MSFT,2
2012-11-11,AAPL,1
2012-11-12,GOOG,-3
